from,to,weigth,corr_s
GATA2,MEX3B,50.07305426404,blue
GATA2,PAX3,53.36937178853462,blue
SOX9,PAX3,59.91494299048527,red
OTX1,OTX2,152.83132879002775,red
TCF7L1,OTX2,58.234967628220765,red
NR6A1,SERBP1,53.594604603187726,red
RAX,HESX1,54.13686646671293,red
PAX6,HESX1,69.55832378695354,red
HMGB1,HNRNPK,53.45976607359493,red
NEUROG1,ZC3H12C,104.19936356034832,red
LHX2,EFNB2,84.7469425648601,red
RAX,EFNB2,58.76189861574922,red
SP5,POU5F1,70.90276102589716,red
PAX6,POU5F1,75.23376713513782,blue
CDX4,SP5,104.8758760179336,red
POU5F1,SP5,72.67361088906671,red
SNAI2,C3,73.88968791789075,red
SOX9,C3,98.02790711266644,red
NKX6-2,PTCH1,52.273195086603245,red
SP5,CDX4,131.71699402013112,red
SOX9,NID2,51.751004231893525,red
LHX2,RAX,261.7088964251822,red
PAX6,RAX,76.2394479152198,red
GATA2,ZIC2,81.57361666100007,blue
ZIC3,ZIC2,51.31921359510169,red
ZIC1,ZIC2,89.8582659096053,red
ZEB2,CEP131,52.66154399979733,red
GATA2,TET3,73.16127734992938,blue
ZEB2,TET3,58.39704534908589,red
SALL2,TET3,64.09382357139484,red
LHX2,CSGALNACT2,58.007296179169686,red
PAX6,CSGALNACT2,74.76631179234636,red
ZIC3,FOXD3,51.018214268652535,red
ZEB2,FOXD3,58.23342030023995,red
NEUROG1,TUBB2B,86.6350101542248,red
EBF3,TUBB2B,117.09774923280824,red
RAX,LHX2,234.58653037915352,red
PAX6,LHX2,94.90401469755436,red
SALL2,MSI1,69.17992688813209,red
GATA2,AKAP12,117.63285746537169,blue
ZEB2,AKAP12,74.3197063701544,red
SALL2,AKAP12,53.26558407445286,red
NEUROG1,SRRM4,95.28076214246232,red
TFAP2C,SALL2,82.04870107496288,blue
PAX6,SALL2,61.17016517264145,red
LHX2,HS3ST3B1,55.66759414504689,red
LHX2,ZBTB16,68.80091879706416,red
PAX6,ZBTB16,63.01883222431999,red
NR2F2,ZBTB16,55.26145392217136,red
NEUROG1,PRPH,115.90620546808792,red
EBF3,PRPH,98.55354933736058,red
TFAP2C,PDK1,57.67287291445455,blue
ZEB2,PDK1,78.07054369680911,red
NEUROG1,CELF3,85.47736170418695,red
TFAP2C,ZC4H2,57.08726213955524,blue
ZEB2,ZC4H2,66.36506030087567,red
NKX6-2,ZC4H2,78.3601850287667,red
LHX2,PAX6,143.1497687108014,red
RAX,PAX6,112.1436582022153,red
GATA2,ZEB2,84.54116187390629,blue
TFAP2C,ZEB2,108.40599321811992,blue
TFAP2A,ZEB2,85.71533486686376,blue
