from,to,weight,correlation,corr_s
TFAP2C,SOX3,99.4966858288042,blue,negative
GATA2,CTBS,89.9004365196485,red,positive
GATA3,CTBS,87.26407532832387,red,positive
POU3F1,VIM,50.4143814014888,red,positive
GATA2,ZIC1,124.60535380399068,blue,negative
ZIC3,ZIC1,165.53160301877378,red,positive
ZIC2,ZIC1,87.88466281726973,red,positive
FOXI1,NR6A1,65.89185945167243,blue,negative
GATA2,ZIC3,134.3134629072744,blue,negative
ZIC1,ZIC3,132.67730361412737,red,positive
OTX1,MEIS2,72.13220118879048,blue,negative
NR6A1,CADM1,54.67295920865441,red,positive
GATA2,KRT18,66.58039091245685,red,positive
GATA2,OLFM4,179.61657758047747,red,positive
TFAP2C,OLFM4,99.77470475368388,red,positive
TP63,OLFM4,54.59530435744629,red,positive
GATA3,OLFM4,70.0367870349816,red,positive
ZEB2,OLFM4,84.23336643369058,blue,negative
LHX2,RRM2,56.94355021784743,red,positive
TFAP2C,RRM2,50.08056273170837,blue,negative
GATA2,PMM1,81.08522377418551,red,positive
TP63,PMM1,53.59903073168874,red,positive
GATA2,ELAVL3,53.072434797658005,blue,negative
NEUROG1,ELAVL3,150.22181374393926,red,positive
ZEB2,ELAVL3,84.1281742328715,red,positive
GATA2,CAPN8,75.95651243480945,red,positive
GATA2,ROR2,64.63376832361226,blue,negative
ZEB2,ROR2,55.78891447779597,red,positive
SOX9,C9,59.06067872968579,red,positive
SOX8,C9,54.55468138639491,red,positive
PAX8,C9,83.83899010297472,red,positive
SNAI2,SOX9,185.53220731285657,red,positive
SOX8,SOX9,81.52499055212049,red,positive
GATA2,MEX3B,50.07305426404,blue,negative
GATA2,PAX3,53.36937178853462,blue,negative
SOX9,PAX3,59.91494299048527,red,positive
OTX1,OTX2,152.83132879002775,red,positive
TCF7L1,OTX2,58.234967628220765,red,positive
NR6A1,SERBP1,53.594604603187726,red,positive
RAX,HESX1,54.13686646671293,red,positive
PAX6,HESX1,69.55832378695354,red,positive
HMGB1,HNRNPK,53.45976607359493,red,positive
NEUROG1,ZC3H12C,104.19936356034832,red,positive
LHX2,EFNB2,84.7469425648601,red,positive
RAX,EFNB2,58.76189861574922,red,positive
SP5,POU5F1,70.90276102589716,red,positive
PAX6,POU5F1,75.23376713513782,blue,negative
CDX4,SP5,104.8758760179336,red,positive
POU5F1,SP5,72.67361088906671,red,positive
SNAI2,C3,73.88968791789075,red,positive
SOX9,C3,98.02790711266644,red,positive
NKX6-2,PTCH1,52.273195086603245,red,positive
SP5,CDX4,131.71699402013112,red,positive
SOX9,NID2,51.751004231893525,red,positive
LHX2,RAX,261.7088964251822,red,positive
PAX6,RAX,76.2394479152198,red,positive
GATA2,ZIC2,81.57361666100007,blue,negative
ZIC3,ZIC2,51.31921359510169,red,positive
ZIC1,ZIC2,89.8582659096053,red,positive
ZEB2,CEP131,52.66154399979733,red,positive
GATA2,TET3,73.16127734992938,blue,negative
ZEB2,TET3,58.39704534908589,red,positive
SALL2,TET3,64.09382357139484,red,positive
LHX2,CSGALNACT2,58.007296179169686,red,positive
PAX6,CSGALNACT2,74.76631179234636,red,positive
ZIC3,FOXD3,51.018214268652535,red,positive
ZEB2,FOXD3,58.23342030023995,red,positive
NEUROG1,TUBB2B,86.6350101542248,red,positive
EBF3,TUBB2B,117.09774923280824,red,positive
RAX,LHX2,234.58653037915352,red,positive
PAX6,LHX2,94.90401469755436,red,positive
SALL2,MSI1,69.17992688813209,red,positive
GATA2,AKAP12,117.63285746537169,blue,negative
ZEB2,AKAP12,74.3197063701544,red,positive
SALL2,AKAP12,53.26558407445286,red,positive
NEUROG1,SRRM4,95.28076214246232,red,positive
TFAP2C,SALL2,82.04870107496288,blue,negative
PAX6,SALL2,61.17016517264145,red,positive
LHX2,HS3ST3B1,55.66759414504689,red,positive
LHX2,ZBTB16,68.80091879706416,red,positive
PAX6,ZBTB16,63.01883222431999,red,positive
NR2F2,ZBTB16,55.26145392217136,red,positive
NEUROG1,PRPH,115.90620546808792,red,positive
EBF3,PRPH,98.55354933736058,red,positive
TFAP2C,PDK1,57.67287291445455,blue,negative
ZEB2,PDK1,78.07054369680911,red,positive
NEUROG1,CELF3,85.47736170418695,red,positive
TFAP2C,ZC4H2,57.08726213955524,blue,negative
ZEB2,ZC4H2,66.36506030087567,red,positive
NKX6-2,ZC4H2,78.3601850287667,red,positive
LHX2,PAX6,143.1497687108014,red,positive
RAX,PAX6,112.1436582022153,red,positive
GATA2,ZEB2,84.54116187390629,blue,negative
TFAP2C,ZEB2,108.40599321811992,blue,negative
TFAP2A,ZEB2,85.71533486686376,blue,negative
